UF,Cidade,Lat,Lon,ID,,
AL,Traipu,-9.962625,-37.007119,2,,
AL,União dos Palmares,-9.1576807,-36.0342251,2,,
AL,Viçosa,0,0,2,,
AM,Alvarães,-3.22727,-64.800654,2,,
AM,Amaturá,-3.374547,-68.200456,2,,
AM,Anamã,-3.566966,-61.396337,2,,
AM,Anori,-3.748452,-61.658576,2,,
AM,Apuí,0,0,2,,
AM,Atalaia do Norte,-4.370551,-70.1967,2,,
AM,Autazes,-3.5833283,-59.1301518,2,,
AM,Barcelos,0,0,2,,
AM,Barreirinha,-2.798863,-57.067897,2,,
AM,Benjamin Constant,0,0,2,,
AM,Beruri,-3.898736,-61.36162,2,,
AM,Boa Vista do Ramos,-2.974087,-57.587333,2,,
AM,Boca do Acre,0,0,2,,
AM,Borba,-4.391539,-59.58738,2,,
AM,Caapiranga,-3.315372,-61.220557,2,,
AM,Canutama,-6.5327253,-64.3856284,2,,
AM,Carauari,-4.874248,-66.8927101,2,,
AM,Careiro,-3.8185277,-60.3616505,2,,
AM,Careiro da Várzea,-3.196979,-59.79639,2,,
AM,Coari,-4.0885957,-63.1431166,2,,
AM,Codajás,-3.830528,-62.065787,2,,
AM,Eirunepé,-6.6567654,-69.866161,2,,
AM,Envira,-7.437889,-70.028143,2,,
AM,Fonte Boa,-2.5147464,-66.0948424,2,,
AM,Guajará,-7.537971,-72.590713,2,,
AM,Humaitá,0,0,2,,
AM,Ipixuna,0,0,2,,
AM,Iranduba,-3.274792,-60.189953,2,,
AM,Itacoatiara,0,0,2,,
AM,Itamarati,0,0,2,,
AM,Itapiranga,0,0,2,,
AM,Japurá,0,0,2,,
AM,Juruá,-3.484384,-66.071795,2,,
AM,Jutaí,0,0,2,,
AM,Lábrea,-7.2613683,-64.7924505,2,,
AM,Manacapuru,-3.3000514,-60.6207425,2,,
AM,Manaquiri,-3.440784,-60.461239,2,,
AM,Manaus,-3.133105484,-59.9856354,4,,
AM,Manicoré,-5.804618,-61.289483,2,,
AM,Maraã,-1.853129,-65.572995,2,,
AM,Maués,-3.3838381,-57.7186814,2,,
AM,Nhamundá,-2.191642,-56.715681,2,,
AM,Nova Olinda do Norte,-3.8926889,-59.0953046,2,,
AM,Novo Airão,-2.636371,-60.943404,2,,
AM,Novo Aripuanã,-5.125929,-60.373179,2,,
AM,Parintins,-2.627982,-56.735922,2,,
AM,Pauini,-7.7122214,-66.9998441,2,,
AM,Presidente Figueiredo,-2.029813,-60.02338,2,,
AM,Rio Preto da Eva,-2.704497,-59.685793,2,,
AM,Santa Isabel do Rio Negro,-0.410824,-65.009205,2,,
AM,Santo Antônio do Içá,0,0,2,,
AM,São Gabriel da Cachoeira,-0.11909,-67.084042,2,,
AM,São Paulo de Olivença,-3.472919,-68.964581,2,,
AM,São Sebastião do Uatumã,-2.559147,-57.873049,2,,
AM,Silves,-2.81748,-58.248031,2,,
AM,Tabatinga,0,0,2,,
AM,Tapauá,-5.6232283,-63.1879157,2,,
AM,Tefé,0,0,2,,
AM,Tonantins,-2.865825,-67.791904,2,,
AM,Uarini,-2.996087,-65.113298,2,,
AM,Urucará,-2.529364,-57.753797,2,,
AM,Urucurituba,-3.128412,-58.149637,2,,
AP,Amapá,0,0,2,,
AP,Calçoene,2498,-50949,2,,
AP,Cutias,0.9860003,-50802,2,,
AP,Ferreira Gomes,0.8579992,-51.18,2,,
AP,Itaubal,0,0,2,,
AP,Laranjal do Jari,0,0,2,,
AP,Macapá,0.0456321,-51.0632732,4,,
